idx,tag,n_tokens,mse,nmse,fve,reward,extracted,cjk,explanation
0,base,141,0.2770424485206604,0.4132719116089104,0.5867280883910896,-0.2770424485206604,True,0.0,"Testimonial/review format signals continuation of positive patient praise about a local agency's services. The review follows a pattern of personal experience narrative with specific details.  Personal narrative momentum: the reviewer is mid-story, having established a problem (unanswered call) and resolution (finding The Right Path), now explaining why The Right Path suited them specifically.  Final phrase ""families dealing with behavioral health services"" ends mid-sentence, functioning as a noun phrase modifier — the next token must complete the main clause, likely describing what The Right Path did or what made it appropriate (e.g., ""in my community"" or ""to meet our needs"")."
1,base,127,0.3485873341560364,0.5199974037140227,0.4800025962859773,-0.3485873341560364,True,0.0,"Narrative momentum from an exhibition catalog/description, establishing a thematic and visual analysis of the work ""Buiten de stad,"" requiring continuation of critical commentary on the artwork's meaning.  Repetition/continuation of the phrase ""outside the city"" or the exhibition's name signals a recursive reference, likely reinforcing the theme being explored throughout the text.  Final token ""the"" opens a noun phrase mid-sentence, immediately requiring a noun or adjective — almost certainly ""city"" or a related urban/descriptive noun completing the thought about what ""outside the city"" entails."
2,base,110,0.14396101236343384,0.21475063873525307,0.7852493612647469,-0.14396101236343384,True,0.0,"Business/venture capital announcement genre, establishing a funding event with company description, use of proceeds, and now investor details.  The text has shifted from company description to investor attribution, following the standard press release structure: announcement → deal terms → investor credit line.  Final token ""Partners"" completes the investor name ""Lifeline Capital Partners,"" which in standard press releases is followed by a closing attribution such as ""and"" joining more investors, or a brief statement about the fund/portfolio."
3,base,114,0.10811986029148102,0.16128539718062904,0.8387146028193709,-0.10811986029148102,True,0.0,"Financial news reporting with analyst/revenue data structure: after stating Apple shares fell, specific financial guidance figures or comparisons are expected next.  The sentence ""provided revenue and profit guidance that"" sets up a clause requiring completion with specific forward-looking financial projections or performance expectations, likely involving specific dollar figures or percentage growth targets.  Final token ""that"" opens a relative clause modifying ""guidance,"" requiring an immediate verb phrase describing what guidance stated or implied, e.g., ""was above/below Wall Street's expectations."""
4,base,133,0.15211115777492523,0.22690843690691648,0.7730915630930835,-0.15211115777492523,True,0.0,"Product label format with standardized nutritional/usage instructions, following a strict formula supplement listing pattern (dosing, serving instructions, warnings).  The ""Usage & Directions"" section is mid-sentence, continuing a standard label formula instruction sequence that typically includes mixing/shaking directions and serving quantity (e.g., ""Shake well in a shaker bottle... Use 30 mL..."").  Final token ""a"" is an indefinite article beginning a noun phrase, requiring an immediate noun describing a container or mixing device — most likely ""shaker bottle"" or ""shaker cup"" based on supplement label conventions."
5,base,132,0.27012690901756287,0.40295580934547365,0.5970441906545263,-0.27012690901756287,True,0.0,"List-continuation pattern: the text is enumerating companies leveraging AI (KPMG, Ernst & Young, McKinsey, Accenture, Capgemini, Deloitte, etc.) with ""As a few"" signaling an incomplete enumeration, strongly implying more names follow.  Argumentative momentum: the essay builds toward AI's business-value claims, supporting with examples and statistics throughout — next tokens will elaborate on specific AI implementations.  Final token ""a few"" is an incomplete quantifier phrase opening a specific list of named organizations, requiring continuation with a period or comma followed by additional company names."
6,base,128,0.3077051341533661,0.45901229101342733,0.5409877089865727,-0.3077051341533661,True,0.0,"Column-style sports journalism tone, blending analysis with humor (""homicidal maniacs,"" ""stew in the cauldron"") suggests continued witty commentary on NFL coaching hires.  The piece builds toward contrasting current coaching trends with past patterns, with each paragraph introducing a new angle or counterexample to support the ""coaches getting younger"" thesis.  Final sentence introduces a new coaching hire (Dennis Allen to replace Ken Whisenhunt in New Orleans) mid-sentence, with the period ending abruptly — the next tokens will continue this thought or pivot to another coach/news item."
7,base,116,0.1551300585269928,0.2314118149683889,0.7685881850316111,-0.1551300585269928,True,0.0,"Bulleted list of best management practices introduced with ""including,"" requiring specific examples to follow — e.g., ""stormwater separators,"" ""permeable pavement.""  Formal environmental/government reporting tone throughout, with technical vocabulary like ""stormwater management,"" ""Municipal Separate Storm Sewer System"" signals continued professional register.  Final token ""including"" is a list-introducing conjunction mid-sentence, demanding at least one or more specific BMP examples immediately after, consistent with the established pattern of concrete technical recommendations."
8,base,132,0.1791946440935135,0.26730962533014846,0.7326903746698515,-0.1791946440935135,True,0.0,"Film production announcement pattern: news brief describing a sequel release date, following a predictable format of cast, director, release details.  The text is mid-sentence introducing Joss Whedon's role as director, establishing a new subject after the release date was stated — ""Ralph Fiennes will reprise his role as Dracula"" introduces Whedon's contribution next.  Final token ""is"" opens a predicate clause about Joss Whedon's status or involvement, requiring a noun phrase or adjective describing his role, e.g., ""is directing"" or ""is set to direct."""
9,base,112,0.14041836559772491,0.2094659742051875,0.7905340257948125,-0.14041836559772491,True,0.0,"Product description genre with structured marketing copy, introducing features and use cases in sequence.  The text has been building a case for a motorcycle with specific capabilities (e.g., obstacle avoidance, street riding), and a named product/feature ""MOS C"" is being introduced as the culmination.  ""MOS C"" is the start of a proper noun (likely ""MOS CYCLE"" or similar product name), requiring immediate completion of the brand/model name, followed by a capitalized noun phrase describing it."
